latitude,longitude,NDVI,Temperature,Precipitation,Humidity,Windspeed,is_fire,Year,Month,Day
31.390602,-4.2544446,1139.0,23.055555,0.0,41.6,6.2,1.0,2015,5,28
33.832943,-5.188356,3223.0,7.3333335,0.0,34.3,5.4,1.0,2017,12,5
35.38569,-5.684218,4987.0,18.055555,0.0,54.1,21.3,1.0,2021,11,19
30.12235,-7.4980383,991.0,24.555553,0.0,23.8,3.5,0.0,2014,4,19
30.221554,-9.154314,2171.0,25.88889,0.0,46.3,8.1,1.0,2014,4,11
34.498917,-2.332624,1604.0,17.666666,0.0,54.0,4.7,0.0,2022,11,11
35.522633,-5.526712,5696.0,29.444445,0.0,52.1,12.2,1.0,2019,8,20
32.087673,-8.773463,1674.0,21.277779,0.0,58.5,6.6,0.0,2020,11,2
32.54014,-6.300411,2536.0,23.444443,0.0,58.1,5.0,1.0,2014,9,23
32.931473,-3.967042,1240.0,13.611111,0.0,30.7,12.6,0.0,2016,3,20
35.73314,-5.8893657,2940.0,23.999998,0.0,59.3,14.0,1.0,2014,7,10
34.999813,-5.9668202,3578.0,17.666666,0.35,58.3,0.0,1.0,2016,12,7
27.895748,-9.225438,1119.0,13.333333,0.0,38.7,5.8,0.0,2019,1,23
27.574417,-10.485833,1131.0,22.333332,0.0,22.2,7.0,0.0,2016,3,3
30.048508,-7.2549553,957.0,13.777778,0.02,32.5,9.6,0.0,2018,3,5
35.2558,-3.6669714,3074.0,20.444447,0.0,55.0,5.1,0.0,2019,10,9
35.220215,-4.971408,3558.0,10.555555,0.0,39.5,3.2,0.0,2015,1,12
31.314941,-5.0317864,1251.0,11.888889,0.01,43.1,3.9,0.0,2021,12,22
31.336996,-6.780224,1661.0,17.833334,0.0,17.9,3.6,0.0,2013,4,8
31.072062,-7.117731,1260.0,32.166668,0.0,15.9,6.3,0.0,2021,8,7
31.374186,-6.8957644,2198.0,30.88889,0.0,33.5,7.5,0.0,2022,7,5
32.402813,-8.560557,1831.0,23.61111,0.0,65.2,6.5,1.0,2018,9,16
35.139256,-4.4197683,3961.0,10.166667,0.0,38.7,5.4,0.0,2015,2,8
31.501282,-8.254289,2140.0,14.0,0.67,49.4,2.5,1.0,2014,11,11
33.365555,-7.7513876,5323.0,11.0,0.0,33.2,4.5,1.0,2020,1,16
29.81645,-7.3608246,1004.0,30.277779,0.0,27.8,5.6,0.0,2021,8,23
28.212353,-10.732322,832.0,20.833334,0.0,59.3,13.2,0.0,2018,6,26
35.232662,-4.0276523,2466.0,30.833334,0.0,55.6,5.6,1.0,2017,8,9
28.360847,-10.998141,791.0,23.944445,0.0,21.5,10.5,0.0,2022,2,8
34.598263,-2.347084,1693.0,20.222221,0.0,50.9,9.0,1.0,2019,6,13
35.229286,-5.5127683,4861.0,31.222221,0.0,9999.9,3.8,1.0,2020,8,28
29.808205,-7.301456,974.0,21.777777,0.0,52.3,5.6,0.0,2022,9,27
35.206795,-5.538285,4215.0,25.166668,0.0,50.0,4.0,1.0,2017,10,15
34.90015,-5.7810445,2961.0,24.666666,0.0,59.8,7.0,1.0,2019,9,10
33.908726,-5.4909153,6150.0,14.833333,0.0,36.7,4.5,1.0,2015,3,10
30.901339,-7.49046,1358.0,27.222221,0.0,23.1,3.8,0.0,2013,5,9
27.710161,-10.356817,1091.0,22.055553,0.0,63.2,14.0,0.0,2020,8,5
27.821735,-9.319919,1095.0,22.055553,0.0,58.7,8.0,0.0,2017,5,4
31.04448,-4.522781,856.0,30.333334,0.0,35.4,7.8,0.0,2021,6,23
33.90908,-5.4959464,2756.0,18.88889,0.0,45.0,8.1,1.0,2015,11,7
27.698467,-10.911822,902.0,20.944443,0.0,59.4,19.2,0.0,2022,7,1
33.911224,-5.495984,4279.0,11.833333,0.01,46.4,6.7,1.0,2020,3,24
35.272717,-5.532383,6408.0,18.0,0.0,46.2,6.8,1.0,2017,3,10
32.412045,-3.4088013,965.0,9.499999,0.0,28.8,10.9,0.0,2021,3,22
34.595917,-2.344457,1538.0,18.666666,0.08,53.8,5.8,1.0,2018,10,21
35.064,-5.5976186,5685.0,29.833334,0.0,58.0,8.4,1.0,2022,7,16
35.40524,-5.1584845,4242.0,11.888889,0.0,44.2,4.7,0.0,2022,12,1
35.036694,-5.6630654,5685.0,30.777779,0.0,62.6,9.0,1.0,2022,7,14
35.023457,-3.6164165,2377.0,27.166666,0.0,56.1,5.4,1.0,2019,8,10
30.953896,-7.1529756,1360.0,13.444445,0.0,19.1,1.6,0.0,2016,3,26
35.197266,-5.3787255,6495.0,26.555557,0.0,65.5,8.0,0.0,2020,7,6
33.909924,-5.49603,2790.0,23.277779,0.0,59.7,5.9,1.0,2020,8,15
35.02165,-3.6499062,2377.0,27.166666,0.0,54.5,4.3,1.0,2019,8,9
33.858753,-5.6092167,2933.0,24.555553,0.0,52.5,3.7,1.0,2015,7,11
33.66581,-6.370094,1593.0,20.666664,0.0,60.6,3.7,1.0,2015,9,16
33.912273,-5.493109,5025.0,16.11111,0.0,48.5,3.1,1.0,2017,3,3
28.226753,-8.750336,1238.0,23.222223,0.0,61.5,9.6,0.0,2017,7,4
35.607525,-5.3046174,4679.0,15.5,0.16,50.7,8.9,1.0,2013,4,3
33.633984,-7.586553,1012.0,18.444443,0.0,58.3,7.6,0.0,2020,11,10
35.139297,-5.3983045,5305.0,28.277779,0.0,48.2,4.0,1.0,2021,8,18
30.80851,-6.691779,922.0,33.444443,0.0,29.1,9.1,0.0,2018,8,1
34.18651,-5.6774726,3709.0,14.944445,0.0,45.4,5.1,1.0,2019,5,19
34.595318,-2.3454385,1460.0,27.5,0.0,61.2,7.3,1.0,2016,8,22
31.793377,-9.470493,2644.0,19.666666,0.0,59.6,11.8,0.0,2019,5,2
35.111767,-3.798945,2705.0,21.777777,0.0,55.3,7.4,1.0,2014,5,29
35.213524,-5.525702,4861.0,24.888891,0.0,9999.9,8.4,1.0,2020,9,5
34.956303,-5.1881514,5657.0,16.555555,0.0,46.5,6.8,0.0,2016,4,9
31.563898,-6.3111444,1511.0,29.333334,0.0,36.6,4.1,0.0,2019,5,29
31.819494,-6.844781,3037.0,25.833334,0.0,39.5,2.6,1.0,2014,10,24
32.811802,-4.0338373,1128.0,6.166666,0.0,37.1,4.4,1.0,2020,12,19
28.082857,-11.690534,1022.0,18.222223,0.0,59.2,10.1,0.0,2022,2,25
33.36501,-7.750899,5423.0,15.166667,0.24,49.6,7.0,1.0,2016,4,22
31.667854,-8.899701,1867.0,14.777778,0.0,54.6,3.2,0.0,2015,2,1
33.929783,-4.754705,2986.0,10.611111,0.02,46.0,5.2,0.0,2017,12,18
34.59867,-2.3449013,1566.0,18.555555,0.0,55.8,4.3,1.0,2014,10,31
33.909298,-5.493234,3836.0,27.611109,0.0,52.2,5.3,1.0,2016,6,10
34.909897,-5.1116743,3140.0,15.555555,0.0,45.8,4.4,1.0,2021,11,15
35.237812,-6.0613937,4546.0,35.666668,0.0,33.9,12.4,1.0,2016,8,9
31.152718,-4.3448334,945.0,17.38889,0.0,15.0,3.8,0.0,2020,3,10
28.234205,-11.11749,823.0,22.444445,0.0,66.9,16.2,0.0,2022,7,19
31.567232,-7.577042,4692.0,17.833334,0.0,50.7,5.0,0.0,2013,3,29
34.026752,-5.3303995,5010.0,12.166668,0.0,43.9,3.7,0.0,2019,2,11
32.152626,-5.376241,883.0,21.222221,0.0,30.2,7.0,0.0,2022,10,21
31.467636,-6.6572876,2055.0,29.444445,0.0,34.0,3.5,0.0,2014,6,15
33.964058,-5.5995336,2854.0,25.055555,0.0,52.5,4.5,1.0,2013,8,8
35.000607,-5.9698796,5448.0,15.5,0.01,57.6,5.2,1.0,2019,12,24
34.35108,-1.9671074,2474.0,16.88889,0.0,48.0,5.7,0.0,2022,5,7
33.944115,-5.117709,4250.0,23.333334,0.0,42.2,11.0,1.0,2015,5,17
33.155277,-3.7369208,1153.0,18.61111,0.02,38.3,4.4,0.0,2016,5,20
33.98587,-5.5935287,2854.0,25.055555,0.0,52.5,4.5,1.0,2013,8,8
33.521526,-5.886164,3785.0,7.9444447,0.39,43.9,8.1,0.0,2016,12,17
28.412498,-9.167602,1116.0,28.666666,0.0,39.8,6.9,0.0,2016,10,20
35.09102,-5.9971814,3280.0,22.333332,0.0,62.9,8.0,1.0,2018,7,25
35.185734,-5.1180053,5459.0,27.166666,0.0,51.5,4.8,1.0,2020,8,14
27.93658,-9.395931,1126.0,21.722221,0.0,54.6,7.1,0.0,2021,6,3
33.220284,-6.0217333,4467.0,16.722221,0.0,45.4,5.0,0.0,2022,4,25
35.56745,-5.7837267,4547.0,26.666666,0.0,64.0,23.3,1.0,2020,9,5
34.600266,-2.347032,1479.0,20.666664,0.0,52.8,7.2,1.0,2021,6,23
35.545246,-5.400984,3223.0,21.11111,0.0,59.7,4.3,1.0,2015,10,3
35.416435,-5.9890413,2886.0,36.22222,0.0,44.2,11.6,1.0,2016,8,8
31.694214,-9.065195,1486.0,24.722221,0.0,63.6,13.2,0.0,2021,7,7
31.5377,-4.8620124,1185.0,15.833333,0.0,30.8,14.5,0.0,2019,4,22
35.78245,-5.9070125,5544.0,20.944443,0.0,51.4,10.5,1.0,2017,7,1
27.84979,-9.048876,1121.0,18.277779,0.0,47.5,12.0,0.0,2019,4,23
27.962662,-9.339506,1143.0,22.944447,0.0,61.4,11.1,0.0,2019,7,21
35.25698,-5.5582485,6631.0,28.5,0.0,9999.9,5.0,1.0,2020,8,26
34.13127,-5.356325,4569.0,13.722222,0.0,48.6,9.9,0.0,2022,3,21
31.54224,-7.8863783,2595.0,18.166664,0.0,46.6,3.5,0.0,2021,1,28
33.36995,-7.7542987,5075.0,11.611112,0.0,46.5,7.2,1.0,2016,3,11
33.913887,-5.497011,3725.0,16.944445,0.0,45.8,6.0,1.0,2013,6,19
32.39558,-6.526925,5462.0,28.277779,0.0,53.3,4.3,0.0,2020,6,21
33.36628,-7.749522,2253.0,14.111112,0.0,46.9,4.6,1.0,2017,11,17
34.01051,-5.3981967,3662.0,16.222221,0.08,54.8,5.1,0.0,2017,5,1
32.668503,-4.952318,1674.0,19.333336,0.0,36.1,3.6,1.0,2016,10,18
31.204445,-9.736914,2523.0,23.555555,0.0,66.4,5.2,0.0,2018,8,23
